,type,price,private_owner,floor_built,floor,bedrooms,bathrooms,second_hand,lift,garage_included,furnished,equipped_kitchen,fitted_wardrobes,air_conditioning,terrace,balcony,storeroom,swimming_pool,district,subdistrict,postalcode,last_update,Street,latitude,longitude
7017,Flat,2430,0,65,3.0,2,2,1,1,0,1,1,1,0,0,0,1,0,Centro,Lavapiés-Embajadores,28012.0,December,,,
7018,Flat,2700,0,91,1.0,2,2,1,1,0,1,1,1,1,0,0,0,0,Centro,Palacio,28005.0,August,5,40.41317225,-3.711013716278005
7019,Flat,1800,0,75,1.0,2,1,1,1,0,1,1,1,0,0,1,0,0,Centro,Chueca-Justicia,28004.0,September,Calle de Santa Brígida,40.4244217,-3.699391
7020,Flat,4050,0,200,3.0,3,3,1,1,0,1,1,0,0,0,0,0,0,Centro,Chueca-Justicia,28004.0,December,30,40.4224179,-3.6926522
7021,Flat,3915,0,111,4.0,2,2,1,1,0,1,1,1,0,1,0,0,1,Centro,Lavapiés-Embajadores,28012.0,September,Calle de Atocha,40.4120613,-3.6986154
7022,Flat,2025,0,55,2.0,1,1,1,1,0,1,1,1,0,0,0,1,0,Centro,Lavapiés-Embajadores,28012.0,July,,,
7023,Penthouse,1400,0,72,2.0,2,2,1,1,0,1,1,1,1,1,0,0,0,Centro,Lavapiés-Embajadores,28012.0,November,Calle de la Encomienda,40.4106798,-3.7059984
7024,Flat,1725,0,50,4.0,1,1,1,1,0,1,1,0,1,0,0,0,0,Centro,Chueca-Justicia,28004.0,October,Calle de San Gregorio,40.4237875,-3.6972172
7025,Studio,1350,0,40,1.0,0,1,1,1,0,1,1,0,0,0,0,0,0,Centro,Lavapiés-Embajadores,28012.0,October,Calle del Salitre,40.4081908,-3.6997132
7026,Flat,2295,0,53,6.0,1,1,1,1,0,1,1,1,1,0,0,0,0,Centro,Palacio,28013.0,September,,,
7027,Flat,2835,0,90,2.0,2,2,1,1,0,1,1,0,1,0,0,0,0,Centro,Chueca-Justicia,28004.0,February,Hostal Corazón de Madrid,40.4216955,-3.698707
7028,Flat,2430,0,42,3.0,1,1,1,1,0,1,1,1,1,0,0,0,0,Centro,Chueca-Justicia,28004.0,April,Bazaar,40.4212648,-3.6975009
7029,Penthouse,2430,0,56,4.0,2,1,1,1,0,1,1,1,1,0,0,0,0,Centro,Chueca-Justicia,28004.0,January,6,40.4241987,-3.6966462
7030,Flat,2970,0,80,6.0,2,2,1,1,0,1,1,1,1,0,0,0,0,Centro,Chueca-Justicia,28004.0,February,Calle del Marqués de la Ensenada,40.4249644,-3.6923566
7031,Studio,2067,0,25,1.0,0,1,1,1,0,1,1,0,1,0,0,0,0,Centro,Sol,28013.0,November,Calle de las Navas de Tolosa,40.4191818,-3.7067834
7032,Flat,2565,0,102,3.0,2,2,1,1,0,1,1,1,1,1,0,0,0,Centro,Lavapiés-Embajadores,28012.0,January,Calle del Doctor Mata,40.4092083,-3.6941627
7033,Flat,2160,0,75,3.0,1,1,1,1,0,1,1,1,1,0,0,0,0,Centro,Malasaña-Universidad,28004.0,February,,,
7034,Flat,2565,0,80,1.0,2,2,1,1,0,1,1,1,1,0,0,0,0,Centro,Chueca-Justicia,28004.0,May,Calle de Serrano Anguita,40.4273042,-3.6979548
7035,Penthouse,1800,0,79,5.0,1,1,1,1,0,1,1,1,1,1,0,0,0,Centro,Chueca-Justicia,28004.0,June,Janatomo,40.4200398,-3.6989861
7036,Flat,2200,0,98,4.0,1,1,1,1,0,1,1,1,1,1,0,0,0,Centro,Chueca-Justicia,28004.0,July,Calle de la Libertad,40.4212265,-3.6973585
7037,Flat,3150,0,135,2.0,2,2,1,1,0,1,1,1,1,0,0,0,0,Centro,Huertas-Cortes,28013.0,May,,,
7038,Flat,3105,0,120,2.0,2,2,1,1,0,1,1,1,1,0,0,0,0,Centro,Huertas-Cortes,28013.0,June,,,
7039,Studio,1480,0,27,1.0,0,1,1,1,0,1,1,0,1,0,0,0,0,Centro,Sol,28013.0,August,Calle de las Navas de Tolosa,40.4191818,-3.7067834
7040,Flat,850,0,40,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,Centro,Lavapiés-Embajadores,28012.0,October,Calle de Lavapiés,40.4096391,-3.7022064
7041,Penthouse,2000,1,70,4.0,1,1,1,1,0,1,1,1,1,1,0,1,0,Centro,Lavapiés-Embajadores,28012.0,November,,,
7042,Flat,2970,0,110,1.0,2,3,1,1,0,1,1,1,1,0,0,0,0,Centro,Chueca-Justicia,28004.0,June,El Bierzo,40.4214789,-3.6979501
7043,Flat,2460,0,81,2.0,2,1,1,1,0,1,1,0,1,0,1,0,0,Centro,Huertas-Cortes,,November,,,
7044,Penthouse,850,0,30,4.0,0,1,1,1,0,1,1,1,1,0,0,0,0,Centro,Malasaña-Universidad,28004.0,November,Calle de la Madera,40.4251449,-3.7027971
7045,Penthouse,850,0,25,5.0,0,1,1,1,0,1,1,1,1,0,0,0,0,Centro,Malasaña-Universidad,28004.0,November,Vega,40.4223138,-3.7060967
7046,Flat,4095,0,89,2.0,2,2,1,1,0,1,1,1,1,0,0,0,0,Centro,Chueca-Justicia,28004.0,September,,,
7047,Flat,4455,0,170,3.0,3,3,1,1,0,1,1,1,1,0,0,0,0,Centro,Chueca-Justicia,28004.0,February,Calle de Fernando VI,40.4250011,-3.6959572
7048,Flat,1990,0,90,1.0,2,1,1,1,0,1,1,0,0,0,0,0,0,Centro,Malasaña-Universidad,,October,Calle de San Vicente Ferrer,40.4257608,-3.7038591
7049,Flat,1710,0,45,4.0,1,1,1,1,0,1,1,0,1,0,0,0,0,Centro,Huertas-Cortes,28014.0,October,,,
7050,Flat,2345,0,60,1.0,1,1,1,1,0,1,1,0,1,0,0,0,0,Centro,Huertas-Cortes,,October,,,
7051,Studio,1350,0,40,1.0,0,1,1,1,0,1,1,0,1,0,0,0,0,Centro,Lavapiés-Embajadores,28012.0,October,Calle de las Provisiones,40.4074974,-3.7016734
7052,Flat,1945,0,60,3.0,1,1,1,1,0,1,1,0,1,0,0,0,0,Centro,Lavapiés-Embajadores,28012.0,October,Calle de Santa Isabel,40.412352,-3.6995612
7053,Flat,3500,0,200,3.0,4,3,1,1,0,1,1,1,1,0,1,1,0,Centro,Chueca-Justicia,28004.0,September,Calle de Argensola,40.4261113,-3.6942911
7054,Studio,950,0,32,0.0,0,1,1,1,0,1,1,0,0,0,0,0,0,Centro,Lavapiés-Embajadores,28012.0,October,,,
7055,Flat,1600,1,115,3.0,1,2,1,1,1,1,1,1,1,0,0,0,0,Centro,Lavapiés-Embajadores,28012.0,October,Calle de Santa Isabel,40.412352,-3.6995612
7056,Flat,1800,0,39,2.0,1,1,1,1,0,1,1,0,1,0,1,0,0,Centro,Huertas-Cortes,28014.0,October,,,
7057,Duplex,1450,0,37,1.0,1,1,1,1,0,1,1,0,1,0,0,0,0,Centro,Lavapiés-Embajadores,28012.0,August,La Fisna Vinos,40.4070266,-3.7007578
7058,Flat,2160,0,91,1.0,2,2,1,1,0,1,1,1,1,0,0,0,0,Centro,Palacio,28005.0,October,4,40.4114309,-3.7091707
