,floor_built,subdistrict,bathrooms,floor,district,bedrooms,air_conditioning,fitted_wardrobes,garage_included,private_owner,balcony
3946,69,971.5890979056435,1,1,927.243038503216,2,0,0,0,0,0
4738,54,967.8327337695262,1,4,943.1819623208775,2,1,0,0,0,0
3669,64,1789.5492272735808,1,1,1773.2995514961183,1,1,1,1,0,1
1157,72,1269.801120630257,1,4,1919.137486048757,2,1,1,0,0,1
4809,45,875.5219424257789,1,0,889.030233659284,2,1,0,0,0,0
1848,61,1955.442642756042,1,3,2161.0284695868604,2,1,0,0,0,0
6986,50,2210.5592126265187,1,4,1848.1300723995475,1,0,0,0,0,0
4388,110,1103.26103439928,1,3,1233.6969424440695,1,1,1,0,1,0
3375,128,1015.3455235698771,2,3,1065.5090123520292,2,1,1,1,1,0
4178,75,1103.26103439928,2,0,1233.6969424440695,2,0,1,0,1,0
3060,112,1361.382560606914,3,0,1557.649671927716,3,1,1,1,0,0
7661,43,1971.3293388921502,1,2,1848.1300723995475,0,0,0,0,0,0
1745,70,2326.721192006667,2,3,2161.0284695868604,2,0,1,0,0,0
163,56,2565.4046762527896,1,0,1924.735143390946,1,0,1,0,0,0
4247,92,1103.26103439928,1,12,1233.6969424440695,2,1,1,0,0,0
2610,75,1331.2705710241676,1,4,1301.7464633309805,1,1,1,0,0,0
1666,164,1603.6327285909183,2,5,2161.0284695868604,3,1,1,0,0,0
6589,41,1643.224517225123,1,2,1848.1300723995475,0,1,1,0,0,1
2681,96,1361.382560606914,2,7,1557.649671927716,2,1,1,1,0,1
5723,155,2821.352634017893,3,3,2432.499556198407,4,1,1,0,0,0
3537,60,1860.2384333859775,1,1,1773.2995514961183,1,0,1,0,0,0
4202,49,1042.5182853548156,1,0,1233.6969424440695,1,1,1,0,0,0
5732,163,2633.666621779537,2,6,2432.499556198407,4,1,1,0,0,1
3792,86,1860.2384333859775,2,2,1773.2995514961183,2,1,1,0,1,0
6840,78,1822.6305171996403,2,5,1848.1300723995475,1,1,1,0,0,1
2322,55,961.4483322322429,1,4,948.176640496566,1,1,1,1,1,0
4328,80,1533.8078264476776,1,3,1233.6969424440695,3,1,0,0,1,0
7810,64,1105.059842979397,1,1,1233.9589170661993,2,0,0,0,0,0
3140,80,1933.6920478837662,2,4,1557.649671927716,2,0,1,0,0,0
1920,45,1955.442642756042,1,4,2161.0284695868604,0,1,0,0,0,0
6024,65,817.0738409103712,1,1,850.803111720161,3,0,0,0,0,0
4467,45,1060.377218184891,1,2,1005.9320210441978,2,1,1,0,1,1
4697,54,931.5329136386683,1,3,943.1819623208775,2,0,0,0,0,1
4956,30,875.5219424257789,1,4,889.030233659284,0,1,1,0,1,1
323,337,2247.0750811056214,4,1,1924.735143390946,5,1,1,1,0,0
223,95,2565.4046762527896,2,3,1924.735143390946,2,1,1,0,0,0
7099,46,1971.3293388921502,1,3,1848.1300723995475,1,1,1,0,0,0
4689,75,986.5219424257789,1,2,943.1819623208775,3,0,1,0,0,0
5805,68,1618.0971522731115,2,2,2432.499556198407,2,0,1,0,0,0
7204,25,1643.224517225123,1,1,1848.1300723995475,1,1,0,0,0,0
521,150,2041.757763015157,2,6,1924.735143390946,3,1,1,1,0,0
216,56,2247.0750811056214,1,3,1924.735143390946,1,1,1,0,0,0
1507,95,2014.3944721711568,2,7,1919.137486048757,2,1,1,0,0,0
1190,100,1399.6849520214823,2,6,1919.137486048757,3,1,1,1,0,0
2716,63,1933.6920478837662,1,18,1557.649671927716,3,1,0,0,0,0
910,120,1785.2131654554673,2,2,1640.7201765841617,3,1,1,1,0,0
2887,45,1734.2144629054412,2,1,1557.649671927716,1,1,1,0,0,0
319,130,2247.0750811056214,2,4,1924.735143390946,2,0,1,1,0,0
1948,73,2326.721192006667,1,2,2161.0284695868604,2,0,1,0,0,0
3639,240,1789.5492272735808,5,1,1773.2995514961183,4,1,1,1,0,0
2091,108,1888.2529309772844,3,6,2161.0284695868604,3,1,1,0,0,0
2938,75,1244.946101173764,2,2,1557.649671927716,2,1,1,0,0,0
4419,49,1107.9035171727414,1,1,1005.9320210441978,2,1,1,0,0,0
1613,145,1888.2529309772844,2,3,2161.0284695868604,4,1,1,0,0,0
3274,101,1015.3455235698771,2,5,1065.5090123520292,2,1,1,1,0,0
883,98,2429.8684325082836,2,2,1640.7201765841617,2,1,1,1,0,1
2090,45,1888.2529309772844,1,4,2161.0284695868604,1,1,1,0,0,0
6539,43,1971.3293388921502,1,0,1848.1300723995475,0,0,1,0,0,0
5644,142,2633.666621779537,2,3,2432.499556198407,2,1,1,0,0,0
4167,56,958.0746586280278,1,2,1233.6969424440695,1,0,0,1,0,0
402,115,2247.0750811056214,3,1,1924.735143390946,2,1,1,1,0,0
1618,80,2694.678683136039,1,2,2161.0284695868604,2,1,1,0,0,0
222,85,2041.757763015157,1,7,1924.735143390946,1,1,0,0,0,0
6279,71,1389.833228409667,1,0,1629.642194242578,1,1,1,1,0,0
2060,101,1888.2529309772844,2,3,2161.0284695868604,3,0,1,0,0,0
6266,91,1389.833228409667,2,1,1629.642194242578,2,1,1,1,1,0
2562,80,1331.2705710241676,1,1,1301.7464633309805,3,1,0,0,1,0
2864,45,1734.2144629054412,1,1,1557.649671927716,1,0,1,0,0,0
5801,90,2813.642519715502,2,4,2432.499556198407,1,1,1,0,0,0
5944,120,2633.666621779537,2,4,2432.499556198407,2,1,1,0,0,0
1415,110,1407.1886090924454,2,6,1919.137486048757,2,1,1,0,1,0
4894,57,968.5658272773366,1,1,889.030233659284,1,0,1,0,0,0
4018,150,1595.4214451878436,2,2,1233.6969424440695,4,1,1,1,0,0
7041,70,1605.973354087283,1,4,1848.1300723995475,1,1,1,0,1,0
712,43,1067.440589444302,1,2,1640.7201765841617,2,1,1,0,0,0
191,115,2041.757763015157,2,3,1924.735143390946,2,1,1,1,0,0
7435,30,1643.224517225123,1,3,1848.1300723995475,1,1,0,0,0,0
3620,28,1860.2384333859775,1,0,1773.2995514961183,1,1,1,0,0,0
7216,492,1971.3293388921502,6,1,1848.1300723995475,5,1,0,1,0,1
4677,54,1061.4122987034937,1,0,943.1819623208775,1,1,1,0,0,0
291,92,1377.8023914145683,2,9,1924.735143390946,2,1,1,0,0,0
3459,100,1160.4348859792096,2,1,1065.5090123520292,2,1,0,0,0,1
3421,75,1015.3455235698771,1,3,1065.5090123520292,2,1,1,0,0,0
3719,45,1895.5738409103712,1,0,1773.2995514961183,1,1,0,0,0,0
2607,126,1313.6595473494451,2,3,1301.7464633309805,3,1,1,1,0,0
302,190,2565.4046762527896,2,4,1924.735143390946,2,1,1,0,0,0
3239,75,1015.3455235698771,1,3,1065.5090123520292,2,1,1,0,0,0
4861,52,850.7745479127937,1,3,889.030233659284,2,0,0,0,0,0
5866,74,1618.0971522731115,1,4,2432.499556198407,2,1,1,0,0,0
1038,60,1067.440589444302,1,11,1640.7201765841617,1,0,0,0,0,0
3403,98,1015.3455235698771,2,3,1065.5090123520292,2,0,1,1,0,0
2349,40,1207.1925406722823,1,0,1301.7464633309805,0,1,0,0,0,0
7582,64,1643.224517225123,1,1,1848.1300723995475,3,0,1,0,0,1
43,80,2041.757763015157,1,6,1924.735143390946,1,1,1,0,1,0
5515,55,2813.642519715502,1,6,2432.499556198407,1,1,1,0,0,0
2892,50,1072.0970473494451,1,1,1557.649671927716,1,1,0,0,0,0
6269,174,2427.254165072983,2,3,1629.642194242578,3,1,1,1,0,0
3561,71,1376.6394127776584,1,5,1773.2995514961183,3,0,1,0,0,0
283,44,2247.0750811056214,1,0,1924.735143390946,1,1,1,0,0,0
5069,146,1435.4708320168122,2,4,2432.499556198407,3,0,1,0,0,0
3026,136,1933.6920478837662,2,7,1557.649671927716,2,1,1,1,0,0
6400,99,2458.5696217023665,2,2,1629.642194242578,3,0,0,1,0,1
5617,196,2821.352634017893,3,4,2432.499556198407,3,1,1,1,0,0
3649,311,1860.2384333859775,5,3,1773.2995514961183,6,1,1,0,0,0
6067,83,817.0738409103712,1,0,850.803111720161,2,0,0,0,0,0
121,65,1397.5029862787426,1,1,1924.735143390946,2,0,0,0,0,0
3385,70,1160.4348859792096,2,1,1065.5090123520292,0,1,0,1,1,0
1459,94,2496.3070249563402,1,4,1919.137486048757,2,0,0,0,0,0
2732,211,1734.2144629054412,3,4,1557.649671927716,4,1,1,1,0,0
231,86,2565.4046762527896,2,2,1924.735143390946,2,1,1,1,1,0
7207,90,1605.973354087283,2,5,1848.1300723995475,2,1,1,0,0,1
4704,59,949.6107613655569,1,1,943.1819623208775,3,0,0,0,0,0
5917,139,2813.642519715502,2,3,2432.499556198407,2,1,1,0,0,0
4759,105,959.4829136386683,2,6,943.1819623208775,3,1,1,1,1,0
90,80,2247.0750811056214,2,1,1924.735143390946,2,1,1,0,0,0
915,70,1586.7357613655568,1,4,1640.7201765841617,2,1,1,1,0,0
7238,30,1605.973354087283,1,0,1848.1300723995475,1,0,1,0,1,0
4883,100,980.4599177511127,2,1,889.030233659284,3,1,1,1,0,0
485,80,1310.5436387571938,1,7,1924.735143390946,1,1,1,0,0,0
6885,74,1822.6305171996403,2,1,1848.1300723995475,1,1,1,0,0,0
580,82,1397.5029862787426,1,3,1924.735143390946,3,1,1,0,0,0
4112,122,1103.26103439928,2,2,1233.6969424440695,3,0,1,0,0,0
2496,65,1313.6595473494451,1,1,1301.7464633309805,1,1,1,1,0,0
6584,40,1971.3293388921502,1,0,1848.1300723995475,1,1,0,0,0,0
2359,58,1303.80848653284,1,0,1301.7464633309805,1,1,0,0,0,0
7349,171,1971.3293388921502,2,4,1848.1300723995475,3,1,1,0,0,0
4437,110,1033.2117396715166,1,4,1005.9320210441978,4,1,0,0,1,0
2576,130,1313.6595473494451,2,4,1301.7464633309805,3,1,1,1,0,0
2449,66,1307.0803150478166,2,4,1301.7464633309805,2,0,0,0,0,0
7090,55,1605.973354087283,1,1,1848.1300723995475,1,0,0,0,1,0
2257,172,961.4483322322429,2,8,948.176640496566,3,1,1,1,0,1
4515,85,1033.2117396715166,2,3,1005.9320210441978,2,1,1,1,1,1
4274,61,958.0746586280278,1,2,1233.6969424440695,1,0,1,0,0,0
6991,72,1605.973354087283,1,0,1848.1300723995475,1,1,1,0,0,1
682,60,1377.8023914145683,1,2,1924.735143390946,1,0,0,1,1,0
741,121,2429.8684325082836,2,0,1640.7201765841617,3,1,0,1,0,0
6696,40,1605.973354087283,1,2,1848.1300723995475,2,1,0,0,0,0
4164,247,1533.8078264476776,3,1,1233.6969424440695,5,1,1,1,0,0
3943,31,909.1563689866686,1,0,927.243038503216,1,1,0,0,0,0
6877,30,1643.224517225123,1,4,1848.1300723995475,0,1,0,0,0,0
3225,75,1933.6920478837662,1,13,1557.649671927716,2,0,1,0,0,0
5251,116,2821.352634017893,2,7,2432.499556198407,3,1,1,0,1,1
1495,85,2014.3944721711568,2,3,1919.137486048757,2,1,1,1,0,1
1274,110,2014.3944721711568,2,4,1919.137486048757,3,1,1,0,0,0
7098,42,1971.3293388921502,1,1,1848.1300723995475,1,1,1,0,0,0
2026,80,1955.442642756042,1,1,2161.0284695868604,1,1,0,0,0,1
112,67,1377.8023914145683,1,3,1924.735143390946,1,0,0,0,0,0
1113,150,2604.162396896911,3,5,1919.137486048757,3,1,1,1,0,0
328,62,1377.8023914145683,1,7,1924.735143390946,1,1,1,0,1,0
1352,55,1407.1886090924454,1,0,1919.137486048757,1,1,1,0,0,0
1498,59,1399.6849520214823,1,8,1919.137486048757,1,1,1,0,0,0
4332,45,958.0746586280278,1,0,1233.6969424440695,1,0,1,1,0,1
6146,58,1422.0916645783918,1,1,1629.642194242578,1,0,1,1,0,0
3295,137,1160.4348859792096,2,1,1065.5090123520292,3,1,1,1,0,1
4478,75,1107.9035171727414,1,4,1005.9320210441978,2,1,1,0,0,0
6335,130,1422.0916645783918,2,2,1629.642194242578,4,1,1,1,0,0
3164,37,1366.9210595049701,1,0,1557.649671927716,1,1,1,0,0,0
6486,127,1526.8327337695262,2,3,1629.642194242578,3,1,1,1,0,0
1158,55,2496.3070249563402,1,1,1919.137486048757,1,1,1,0,1,0
4218,125,1595.4214451878436,2,4,1233.6969424440695,3,1,1,1,0,0
5745,60,1618.0971522731115,1,4,2432.499556198407,0,1,1,0,0,0
4804,42,850.7745479127937,1,0,889.030233659284,0,1,1,0,0,0
7816,167,1332.4263309109344,2,2,1233.9589170661993,4,1,1,0,0,0
4149,80,1093.6745920188625,2,3,1233.6969424440695,2,1,1,1,1,0
717,200,2433.643388716323,4,4,1640.7201765841617,4,1,1,1,0,0
5719,32,1618.0971522731115,1,1,2432.499556198407,0,0,0,0,0,0
6389,30,1479.014960744849,1,8,1629.642194242578,0,1,1,1,0,1
2903,68,1734.2144629054412,1,0,1557.649671927716,1,1,1,0,0,0
3572,71,1376.6394127776584,1,5,1773.2995514961183,3,0,1,0,0,0
7486,89,1971.3293388921502,2,3,1848.1300723995475,2,0,1,0,0,0
2577,55,1307.0803150478166,1,5,1301.7464633309805,1,1,1,1,1,0
3709,45,1789.5492272735808,1,1,1773.2995514961183,0,0,0,0,0,0
340,161,2041.757763015157,2,4,1924.735143390946,3,1,1,0,0,0
2788,156,1361.382560606914,3,6,1557.649671927716,3,1,1,1,0,0
6551,121,1643.224517225123,2,4,1848.1300723995475,3,1,1,0,0,0
2288,46,961.4483322322429,1,1,948.176640496566,1,0,1,1,0,0
4255,75,1595.4214451878436,2,2,1233.6969424440695,2,1,1,1,0,1
4618,75,959.4829136386683,2,10,943.1819623208775,2,1,1,1,1,0
6776,107,1643.224517225123,2,5,1848.1300723995475,2,1,1,0,1,0
3492,35,1376.6394127776584,1,1,1773.2995514961183,1,0,1,0,0,0
3823,70,1860.2384333859775,1,0,1773.2995514961183,1,1,1,0,0,0
6084,95,1043.5175858637074,1,8,850.803111720161,4,0,1,0,1,0
2926,60,1933.6920478837662,1,2,1557.649671927716,1,0,1,0,1,0
5328,40,2223.5609729977564,1,7,2432.499556198407,1,1,1,0,0,0
7574,69,1969.5944151832307,1,0,1848.1300723995475,2,1,0,0,0,0
1763,110,1850.3131654554672,2,5,2161.0284695868604,2,1,1,0,0,0
364,105,1377.8023914145683,2,5,1924.735143390946,3,1,1,0,0,0
5700,134,2813.642519715502,2,6,2432.499556198407,3,1,1,0,0,1
3393,85,1015.3455235698771,2,5,1065.5090123520292,2,1,1,1,0,0
4224,90,1533.8078264476776,2,12,1233.6969424440695,2,1,1,1,0,0
5713,98,2813.642519715502,1,4,2432.499556198407,2,1,1,0,0,0
1712,95,2694.678683136039,3,3,2161.0284695868604,2,1,1,0,0,1
4755,63,949.6107613655569,1,1,943.1819623208775,2,1,1,0,1,0
7153,80,1822.6305171996403,2,1,1848.1300723995475,2,1,0,0,0,0
4037,125,1595.4214451878436,2,4,1233.6969424440695,3,1,1,1,0,0
913,100,1785.2131654554673,2,14,1640.7201765841617,3,0,1,1,0,0
5692,90,2223.5609729977564,2,0,2432.499556198407,2,1,1,0,0,0
4310,55,1042.5182853548156,1,4,1233.6969424440695,1,0,0,0,0,0
5689,89,2813.642519715502,2,2,2432.499556198407,2,1,1,0,0,0
2331,93,961.4483322322429,2,3,948.176640496566,2,0,1,1,0,0
3500,70,1184.3758531480348,1,0,1773.2995514961183,3,0,0,0,0,0
7552,60,1605.973354087283,1,3,1848.1300723995475,2,1,0,0,0,0
7418,40,1643.224517225123,1,5,1848.1300723995475,1,0,0,0,1,0
2231,155,1888.2529309772844,2,4,2161.0284695868604,3,1,1,0,0,0
4926,51,850.7745479127937,1,4,889.030233659284,1,0,0,0,0,0
5138,97,2633.666621779537,2,3,2432.499556198407,3,1,1,0,0,0
6124,90,1389.833228409667,2,1,1629.642194242578,2,1,0,0,0,1
92,175,2041.757763015157,3,4,1924.735143390946,4,1,1,1,0,1
4469,35,1107.9035171727414,1,0,1005.9320210441978,0,1,0,0,0,0
1978,160,2326.721192006667,2,2,2161.0284695868604,2,1,1,1,0,0
2941,50,1734.2144629054412,1,2,1557.649671927716,2,1,1,0,0,1
6164,190,1389.833228409667,2,6,1629.642194242578,4,1,1,1,0,0
2776,80,1734.2144629054412,2,4,1557.649671927716,2,1,0,0,0,0
7111,45,1605.973354087283,1,1,1848.1300723995475,1,1,0,0,0,0
3023,47,1361.382560606914,1,3,1557.649671927716,1,1,1,0,1,0
5434,110,2813.642519715502,2,3,2432.499556198407,2,1,1,0,0,0
520,160,2565.4046762527896,2,2,1924.735143390946,4,0,1,0,0,1
2124,50,2694.678683136039,1,4,2161.0284695868604,1,1,1,0,0,0
2654,56,1734.2144629054412,1,7,1557.649671927716,1,1,0,0,0,0
4687,74,931.5329136386683,1,5,943.1819623208775,2,1,1,0,1,0
6410,116,1250.938375599299,2,1,1629.642194242578,3,1,1,1,0,0
6036,44,817.0738409103712,1,2,850.803111720161,3,0,0,0,0,0
5752,200,2223.5609729977564,3,6,2432.499556198407,4,1,1,0,0,0
1333,95,1269.801120630257,2,2,1919.137486048757,3,0,1,0,0,0
7667,60,1971.3293388921502,1,3,1848.1300723995475,1,1,1,0,0,0
6271,342,2458.5696217023665,6,4,1629.642194242578,6,1,1,1,0,0
3038,135,1933.6920478837662,2,7,1557.649671927716,2,0,0,0,0,0
4318,98,1595.4214451878436,2,1,1233.6969424440695,2,0,0,0,0,0
6477,82,1389.833228409667,1,1,1629.642194242578,2,1,1,1,0,0
649,70,1377.8023914145683,1,9,1924.735143390946,1,1,1,0,0,0
6705,64,2210.5592126265187,1,2,1848.1300723995475,1,1,1,0,0,0
4312,118,1103.26103439928,1,4,1233.6969424440695,3,1,0,1,0,0
5216,110,2813.642519715502,3,3,2432.499556198407,2,0,0,0,0,1
4193,90,1533.8078264476776,2,12,1233.6969424440695,2,1,1,1,0,0
7361,142,1971.3293388921502,2,2,1848.1300723995475,2,1,1,1,0,1
4654,50,949.6107613655569,1,0,943.1819623208775,1,0,1,0,1,0
1482,78,1399.6849520214823,1,8,1919.137486048757,1,1,1,0,0,0
2314,65,961.4483322322429,1,3,948.176640496566,1,1,1,1,0,0
2104,54,1603.6327285909183,1,2,2161.0284695868604,2,0,1,0,1,0
5826,121,2821.352634017893,2,6,2432.499556198407,2,1,0,1,0,0
911,140,2429.8684325082836,3,4,1640.7201765841617,2,1,1,1,0,0
2479,130,1313.6595473494451,2,4,1301.7464633309805,3,1,1,1,1,0
2110,140,2326.721192006667,3,2,2161.0284695868604,4,1,1,1,0,0
3254,79,999.1563689866686,2,3,1065.5090123520292,2,1,1,1,0,0
4211,135,1725.6582727733648,2,1,1233.6969424440695,3,1,1,1,0,0
6938,45,2210.5592126265187,1,1,1848.1300723995475,1,0,1,0,1,1
373,280,2247.0750811056214,4,19,1924.735143390946,5,1,1,1,0,0
1218,53,2496.3070249563402,1,6,1919.137486048757,1,1,1,0,0,0
7680,35,1643.224517225123,1,3,1848.1300723995475,1,0,1,0,0,1
3227,110,1933.6920478837662,2,2,1557.649671927716,3,0,0,0,0,0
3643,78,1860.2384333859775,2,3,1773.2995514961183,2,1,1,1,1,0
3327,137,1160.4348859792096,2,1,1065.5090123520292,3,1,1,1,0,0
4756,100,1061.4122987034937,1,3,943.1819623208775,3,1,1,0,1,0
4923,65,875.5219424257789,1,0,889.030233659284,1,1,1,0,0,0
2741,60,1072.0970473494451,1,0,1557.649671927716,1,1,1,0,0,0
7710,80,2210.5592126265187,1,3,1848.1300723995475,3,1,1,1,0,1
1991,110,1888.2529309772844,2,7,2161.0284695868604,3,1,1,0,0,0
610,50,2247.0750811056214,1,2,1924.735143390946,1,1,1,1,0,0
2436,88,1313.6595473494451,1,1,1301.7464633309805,2,1,1,0,1,0
4195,101,958.0746586280278,1,3,1233.6969424440695,3,0,1,1,0,0
1779,69,2694.678683136039,1,4,2161.0284695868604,1,1,1,0,0,0
902,167,2433.643388716323,3,4,1640.7201765841617,4,1,1,1,0,0
5299,105,2223.5609729977564,2,3,2432.499556198407,3,1,1,0,0,0
4815,42,850.7745479127937,1,0,889.030233659284,1,0,0,0,0,0
2502,90,1307.0803150478166,2,1,1301.7464633309805,2,1,1,0,1,0
2500,61,1313.6595473494451,1,5,1301.7464633309805,1,1,1,0,0,0
5441,82,2633.666621779537,2,1,2432.499556198407,2,1,1,0,1,0
5512,202,2813.642519715502,3,3,2432.499556198407,4,1,1,0,0,0
3479,130,1376.6394127776584,2,1,1773.2995514961183,3,0,1,0,0,0
6659,105,1969.5944151832307,2,1,1848.1300723995475,2,0,1,0,0,0
5131,110,2821.352634017893,2,6,2432.499556198407,2,1,1,0,0,1
1170,56,1269.801120630257,1,0,1919.137486048757,1,0,1,0,1,0
1621,30,1603.6327285909183,1,2,2161.0284695868604,0,0,1,0,0,0
4422,95,908.127559444105,2,2,1005.9320210441978,3,0,1,1,0,0
6012,91,817.0738409103712,1,3,850.803111720161,2,0,0,0,0,0
7188,69,2210.5592126265187,1,1,1848.1300723995475,1,1,0,0,0,0
6075,54,917.7587929318537,1,2,850.803111720161,2,0,1,0,0,0
7320,46,1643.224517225123,1,0,1848.1300723995475,1,1,0,0,0,0
5284,106,2813.642519715502,2,3,2432.499556198407,2,1,1,0,0,0
7249,70,2210.5592126265187,1,4,1848.1300723995475,2,1,1,0,0,0
7646,95,1822.6305171996403,2,1,1848.1300723995475,3,0,1,0,0,1
5238,127,2821.352634017893,2,2,2432.499556198407,2,1,1,0,0,0
5105,79,1618.0971522731115,1,4,2432.499556198407,1,0,1,0,0,0
3543,87,1789.5492272735808,2,3,1773.2995514961183,2,1,1,1,1,0
5651,95,2821.352634017893,1,4,2432.499556198407,1,0,0,0,0,0
2629,51,1303.80848653284,1,0,1301.7464633309805,1,0,0,0,0,0
6918,32,2210.5592126265187,1,3,1848.1300723995475,1,1,1,0,0,0
4381,50,958.0746586280278,1,1,1233.6969424440695,2,0,0,0,0,0
6937,45,1605.973354087283,2,6,1848.1300723995475,1,0,0,0,0,0
6945,125,1822.6305171996403,1,4,1848.1300723995475,2,1,1,0,1,0
7691,120,1969.5944151832307,2,2,1848.1300723995475,2,1,1,1,0,0
3930,30,792.6662248828087,1,1,927.243038503216,1,0,0,0,0,0
5884,65,2633.666621779537,1,2,2432.499556198407,1,1,0,0,0,1
5583,120,2633.666621779537,2,3,2432.499556198407,3,1,1,0,0,1
7444,56,1822.6305171996403,1,1,1848.1300723995475,1,1,0,0,1,1
7423,63,1605.973354087283,1,3,1848.1300723995475,1,1,1,0,1,1
7686,92,1971.3293388921502,1,0,1848.1300723995475,1,1,0,0,0,0
5803,77,2813.642519715502,1,4,2432.499556198407,2,1,1,0,0,0
5205,70,2821.352634017893,1,3,2432.499556198407,2,1,1,0,0,0
7490,35,1643.224517225123,1,4,1848.1300723995475,2,1,0,0,0,0
2159,90,1850.3131654554672,1,1,2161.0284695868604,3,0,0,0,0,0
1872,70,1603.6327285909183,1,2,2161.0284695868604,1,1,1,0,0,0
4100,70,958.0746586280278,1,0,1233.6969424440695,2,0,1,0,0,0
3486,70,1860.2384333859775,1,2,1773.2995514961183,2,0,1,0,0,0
4790,75,959.4829136386683,1,1,943.1819623208775,3,0,0,0,1,0
2665,80,1366.9210595049701,2,0,1557.649671927716,3,1,1,0,0,0
5609,186,2821.352634017893,4,6,2432.499556198407,0,1,1,0,1,1
4349,60,1093.6745920188625,1,6,1233.6969424440695,1,0,0,0,0,0
1675,137,2694.678683136039,2,3,2161.0284695868604,2,1,1,1,0,0
1818,91,2694.678683136039,2,1,2161.0284695868604,2,1,1,0,0,1
6515,45,1971.3293388921502,1,1,1848.1300723995475,1,1,1,0,1,0
5151,158,2223.5609729977564,3,4,2432.499556198407,3,1,1,0,0,0
2745,50,1366.9210595049701,1,3,1557.649671927716,1,0,1,0,0,0
6396,45,1422.0916645783918,1,1,1629.642194242578,1,0,1,1,0,0
516,85,1310.5436387571938,2,1,1924.735143390946,1,1,1,1,1,0
6587,60,2210.5592126265187,1,3,1848.1300723995475,1,1,1,0,0,0
3670,165,1895.5738409103712,3,7,1773.2995514961183,4,1,1,1,0,1
3054,78,1072.0970473494451,1,7,1557.649671927716,2,1,0,0,0,1
1053,115,1445.3545932406842,2,1,1640.7201765841617,3,0,1,1,1,1
4707,120,1042.5365707096314,2,2,943.1819623208775,3,1,1,1,0,0
3613,92,1860.2384333859775,2,3,1773.2995514961183,2,1,1,0,0,0
2632,98,1363.5830710241676,2,4,1301.7464633309805,2,0,1,0,1,1
4930,120,850.7745479127937,2,3,889.030233659284,0,1,1,1,1,0
2431,60,1363.5830710241676,1,1,1301.7464633309805,1,1,0,0,0,0
3592,70,1860.2384333859775,1,13,1773.2995514961183,1,1,1,0,0,0
6764,50,1605.973354087283,1,5,1848.1300723995475,1,1,1,0,0,0
2683,69,1933.6920478837662,1,18,1557.649671927716,3,1,1,0,0,0
1486,78,2014.3944721711568,1,6,1919.137486048757,2,1,1,0,1,0
3260,62,913.2072840966706,1,4,1065.5090123520292,2,1,0,0,1,0
29,35,1397.5029862787426,1,2,1924.735143390946,1,1,1,0,0,0
2532,35,1307.0803150478166,1,0,1301.7464633309805,1,1,0,0,0,0
3439,56,999.1563689866686,1,1,1065.5090123520292,3,1,0,0,0,0
1166,70,1399.6849520214823,1,4,1919.137486048757,2,1,0,0,0,0
7623,43,1969.5944151832307,1,1,1848.1300723995475,1,0,0,0,1,0
1632,53,1955.442642756042,1,3,2161.0284695868604,1,1,1,0,0,0
6694,58,2210.5592126265187,1,0,1848.1300723995475,1,1,0,0,0,0
5834,159,2813.642519715502,2,2,2432.499556198407,5,1,1,0,0,0
3877,62,1895.5738409103712,1,8,1773.2995514961183,1,1,1,1,1,1
3381,69,943.6654675390521,1,0,1065.5090123520292,3,1,0,0,0,0
3584,88,1860.2384333859775,1,20,1773.2995514961183,2,1,1,0,0,0
453,67,1377.8023914145683,1,7,1924.735143390946,0,1,1,1,0,0
1023,101,1445.3545932406842,2,7,1640.7201765841617,2,1,1,1,0,0
2791,150,1244.946101173764,1,0,1557.649671927716,1,0,0,0,1,0
1946,60,1955.442642756042,1,4,2161.0284695868604,1,1,1,0,0,0
5305,100,2633.666621779537,2,3,2432.499556198407,2,1,1,0,0,1
4582,110,1222.3829136386682,2,6,1090.8186581037687,3,1,1,1,1,0
1181,89,1269.801120630257,2,3,1919.137486048757,3,1,0,0,0,0
6824,60,1822.6305171996403,1,4,1848.1300723995475,2,1,1,0,1,1
7071,45,1605.973354087283,1,3,1848.1300723995475,1,1,1,0,0,0
4623,35,959.4829136386683,1,0,943.1819623208775,0,0,0,0,1,0
2647,145,1363.5830710241676,2,6,1301.7464633309805,2,1,1,0,1,0
7507,113,1971.3293388921502,4,5,1848.1300723995475,3,1,1,1,0,0
1154,200,2496.3070249563402,3,3,1919.137486048757,3,1,0,0,0,0
3445,50,1015.3455235698771,1,2,1065.5090123520292,0,0,1,0,0,0
3986,83,1491.6036420483354,2,1,1233.6969424440695,3,1,1,0,1,0
5307,50,2813.642519715502,1,3,2432.499556198407,1,1,0,0,0,0
7672,75,2210.5592126265187,1,3,1848.1300723995475,1,1,1,1,0,0
5791,130,2821.352634017893,2,2,2432.499556198407,2,0,1,0,0,0
5436,92,2821.352634017893,2,3,2432.499556198407,2,1,1,1,0,0
205,250,2247.0750811056214,4,1,1924.735143390946,4,1,1,1,0,0
646,60,1310.5436387571938,1,9,1924.735143390946,1,0,0,0,0,0
674,50,1397.5029862787426,1,0,1924.735143390946,1,1,1,0,0,0
5618,196,2821.352634017893,3,4,2432.499556198407,3,1,1,1,0,0
3455,151,1160.4348859792096,2,1,1065.5090123520292,3,1,1,1,0,1
3281,75,1160.4348859792096,1,2,1065.5090123520292,1,1,1,1,0,0
6753,145,1971.3293388921502,2,4,1848.1300723995475,2,1,1,0,0,0
2914,79,1072.0970473494451,2,2,1557.649671927716,2,0,0,0,1,0
