,type,price,deposit,private_owner,floor_built,floor_area,floor,year_built,orientation,bedrooms,bathrooms,second_hand,lift,garage_included,furnished,equipped_kitchen,fitted_wardrobes,air_conditioning,terrace,balcony,storeroom,swimming_pool,garden_area,district,subdistrict,postalcode,last_update,Street,latitude,longitude
7473,Flat,3300,,False,125,,4th,1910.0,east,3,2,True,True,False,True,True,True,True,False,True,False,False,False,Centro,Huertas-Cortes,28014.0,7 November,,,
7474,Flat,1650,2.0,False,80,,1st,,east,2,1,True,True,False,True,True,True,False,False,True,False,False,False,Centro,Malasaña-Universidad,nan,29 September,Calle de San Vicente Ferrer,40.4257608,-3.7038591
7475,Studio,1620,1.0,False,50,,4th,,,0,1,True,True,False,True,True,False,False,False,False,False,False,False,Centro,Malasaña-Universidad,28015.0,31 October,Calle del Conde Duque,40.4296965,-3.708944
7476,Flat,2200,1.0,False,60,,1st,,,2,2,True,True,False,True,True,False,True,False,False,False,False,False,Centro,Palacio,28013.0,3 November,Calle de Fomento,40.420869,-3.710313
7477,Flat,2613,1.0,False,55,,2nd,,,1,1,True,True,False,False,False,False,True,False,False,False,False,False,Centro,Malasaña-Universidad,nan,5 November,Calle de Manuela Malasaña,40.4286709,-3.7037553
7478,Flat,1600,,False,110,,2nd,,,3,1,True,True,False,False,False,False,False,False,True,True,False,False,Centro,Malasaña-Universidad,nan,22 October,Calle de San Bernardo,40.4279494,-3.7062604
7479,Flat,1325,,False,40,30.0,40,1990.0,south,1,1,True,True,False,True,True,False,False,False,False,False,False,False,Centro,Sol,28013.0,6 November,8,40.4189103,-3.7014294
7480,Flat,2600,,False,115,,5th,1977.0,east,2,2,True,True,True,True,True,True,True,False,False,False,False,False,Centro,Palacio,nan,5 November,Plaza de España,40.421868950000004,-3.713090341506608
7481,Penthouse,3350,,False,180,,6th,,east,3,3,True,True,False,True,True,True,True,True,True,False,False,False,Centro,Chueca-Justicia,28004.0,4 November,Calle de Argensola,40.4261113,-3.6942911
7482,Flat,1700,,False,54,50.0,1st,1975.0,,1,1,True,True,False,True,True,False,True,False,False,False,False,False,Centro,Malasaña-Universidad,28015.0,5 November,Calle de los Dos Amigos,40.4243961,-3.7106328
7483,Flat,3500,,False,217,181.0,4th,1900.0,north,3,4,True,True,False,True,True,True,True,False,True,False,False,False,Centro,Huertas-Cortes,nan,5 November,,,
7484,Studio,1100,,False,43,39.0,3rd,,,0,1,True,True,True,True,True,True,True,False,True,False,False,False,Centro,Chueca-Justicia,28004.0,11 August,Banco de España,40.4218088,-3.692572
7485,Flat,1800,,False,74,65.0,3rd,,,2,2,True,True,True,True,True,False,True,False,True,False,False,False,Centro,Chueca-Justicia,28004.0,29 August,Banco de España,40.4218088,-3.692572
7486,Flat,1800,1.0,False,74,,3rd,1910.0,west,2,2,True,True,False,True,True,True,True,False,True,False,False,False,Centro,Chueca-Justicia,28004.0,7 September,Banco de España,40.4218088,-3.692572
7487,Flat,2000,,False,170,,1st,,,2,3,True,True,False,True,True,False,True,False,False,False,False,False,Centro,Malasaña-Universidad,nan,28 September,Instituto de España,40.4250927,-3.707552
7488,Flat,1200,,False,85,74.0,2nd,1910.0,west,1,1,True,True,False,True,True,False,True,False,True,False,False,False,Centro,Lavapiés-Embajadores,28012.0,29 October,Calle del Amparo,40.4057632,-3.7000701
7489,Flat,2200,2.0,False,85,,5th,,,2,2,True,True,False,True,True,True,True,False,True,False,False,False,Centro,Lavapiés-Embajadores,28012.0,28 September,Calle de Santa Isabel,40.412352,-3.6995612
7490,Flat,2010,1.0,False,50,,5th,1890.0,,1,1,True,True,False,True,True,False,True,False,True,False,False,False,Centro,Lavapiés-Embajadores,28012.0,7 October,Calle de Atocha,40.4120613,-3.6986154
7491,Flat,2600,1.0,False,60,,5th,1890.0,,1,1,True,True,False,True,True,False,True,False,True,False,False,False,Centro,Lavapiés-Embajadores,28012.0,7 October,Calle de Atocha,40.4120613,-3.6986154
7492,Flat,1495,1.0,True,55,,2nd,,south,1,1,True,True,False,True,True,True,True,False,True,False,False,False,Centro,Malasaña-Universidad,28004.0,2 months,Public,40.420977,-3.7040369
7493,Flat,1495,1.0,True,65,,2nd,,west,1,1,True,True,False,False,False,True,True,True,True,False,False,False,Centro,Malasaña-Universidad,28004.0,2 months,Public,40.420977,-3.7040369
7494,Flat,2000,,True,135,,5th,,,3,2,True,True,False,True,True,True,True,False,True,False,False,False,Centro,Palacio,28013.0,2 months,11,40.4200772,-3.7089918
7495,Flat,1400,2.0,False,60,,4th,1971.0,south,1,1,True,True,False,True,True,True,True,True,True,False,True,False,Centro,Huertas-Cortes,nan,22 September,,,
7496,Flat,3040,1.0,False,131,130.0,3rd,1900.0,,2,3,True,True,False,True,True,False,True,False,True,False,False,False,Centro,Chueca-Justicia,28004.0,4 November,,,
